,Class,Object_id,Timestamp
0,2,2,2022-12-01 15:42:54.460302
1,2,1,2022-12-01 15:42:54.733638
2,2,4,2022-12-01 15:43:05.234830
3,2,6,2022-12-01 15:43:13.912965
4,2,5,2022-12-01 15:43:14.738289
5,2,10,2022-12-01 15:43:44.524121
6,2,14,2022-12-01 15:43:46.555814
7,2,13,2022-12-01 15:43:49.491845
8,2,18,2022-12-01 15:43:56.875661
9,2,12,2022-12-01 15:44:03.274201
10,2,20,2022-12-01 15:44:06.310497
